result_date,etl_timestamp,positive,negative
2020-06-17,2020-08-15 17:20:01,145,2419
2020-08-09,2020-08-15 17:20:01,109,2608
2020-03-19,2020-08-15 17:20:01,32,295
2020-04-12,2020-08-15 17:20:01,416,691
2020-07-17,2020-08-15 17:20:01,198,2966
2020-05-21,2020-08-15 17:20:01,315,2142
2020-06-04,2020-08-15 17:20:01,85,1341
2020-06-28,2020-08-15 17:20:01,91,1604
2020-05-10,2020-08-15 17:20:01,121,773
2020-07-27,2020-08-15 17:20:01,161,1749
2020-04-01,2020-08-15 17:20:01,421,746
2020-05-04,2020-08-15 17:20:01,372,806
2020-05-22,2020-08-15 17:20:01,202,1729
2020-04-26,2020-08-15 17:20:01,207,594
2020-04-07,2020-08-15 17:20:01,512,755
2020-05-17,2020-08-15 17:20:01,142,1177
2020-06-27,2020-08-15 17:20:01,109,1561
2020-06-03,2020-08-15 17:20:01,148,1620
2020-07-18,2020-08-15 17:20:01,110,2413
2020-04-13,2020-08-15 17:20:01,254,353
2020-07-05,2020-08-15 17:20:01,80,1194
2020-04-14,2020-08-15 17:20:01,378,506
2020-08-15,2020-08-15 17:20:01,6,398
2020-08-05,2020-08-15 17:20:01,131,2766
2020-03-23,2020-08-15 17:20:01,71,310
2020-04-23,2020-08-15 17:20:01,569,1188
2020-05-06,2020-08-15 17:20:01,358,1525
2020-06-13,2020-08-15 17:20:01,97,1767
2020-05-31,2020-08-15 17:20:01,111,1418
2020-06-24,2020-08-15 17:20:01,130,2042
2020-07-13,2020-08-15 17:20:01,136,2001
2020-03-14,2020-08-15 17:20:01,6,64
2020-07-07,2020-08-15 17:20:01,139,2387
2020-05-30,2020-08-15 17:20:01,125,1526
2020-06-14,2020-08-15 17:20:01,60,1242
2020-04-22,2020-08-15 17:20:01,531,974
2020-03-24,2020-08-15 17:20:01,117,471
2020-08-04,2020-08-15 17:20:01,103,2914
2020-04-09,2020-08-15 17:20:01,580,820
2020-05-19,2020-08-15 17:20:01,258,1486
2020-05-05,2020-08-15 17:20:01,365,1226
2020-03-31,2020-08-15 17:20:01,363,737
2020-07-28,2020-08-15 17:20:01,115,2751
2020-05-11,2020-08-15 17:20:01,245,888
2020-06-19,2020-08-15 17:20:01,121,2115
2020-05-20,2020-08-15 17:20:01,194,1704
2020-07-16,2020-08-15 17:20:01,145,2670
2020-08-03,2020-08-15 17:20:01,87,1682
2020-03-25,2020-08-15 17:20:01,170,656
2020-08-08,2020-08-15 17:20:01,88,2346
2020-03-20,2020-08-15 17:20:01,32,183
2020-07-21,2020-08-15 17:20:01,156,2667
2020-06-18,2020-08-15 17:20:01,98,2108
2020-08-13,2020-08-15 17:20:01,89,2840
2020-04-16,2020-08-15 17:20:01,526,761
2020-05-13,2020-08-15 17:20:01,241,1487
2020-06-05,2020-08-15 17:20:01,117,1453
2020-04-08,2020-08-15 17:20:01,576,919
2020-06-26,2020-08-15 17:20:01,87,1504
2020-05-23,2020-08-15 17:20:01,190,1535
2020-07-01,2020-08-15 17:20:01,159,2289
2020-03-17,2020-08-15 17:20:01,16,169
2020-07-10,2020-08-15 17:20:01,110,1803
2020-07-19,2020-08-15 17:20:01,105,1973
2020-03-08,2020-08-15 17:20:01,NA,11
2020-06-23,2020-08-15 17:20:01,154,2171
2020-04-11,2020-08-15 17:20:01,416,639
2020-06-01,2020-08-15 17:20:01,101,1250
2020-05-27,2020-08-15 17:20:01,189,1910
2020-05-09,2020-08-15 17:20:01,225,1152
2020-07-04,2020-08-15 17:20:01,69,1323
2020-03-22,2020-08-15 17:20:01,51,165
2020-08-06,2020-08-15 17:20:01,161,2964
2020-07-26,2020-08-15 17:20:01,92,2252
2020-04-02,2020-08-15 17:20:01,362,692
2020-06-29,2020-08-15 17:20:01,128,2104
2020-06-10,2020-08-15 17:20:01,111,2056
2020-04-24,2020-08-15 17:20:01,490,1145
2020-05-29,2020-08-15 17:20:01,202,1946
2020-05-02,2020-08-15 17:20:01,304,884
2020-07-30,2020-08-15 17:20:01,136,2920
2020-03-29,2020-08-15 17:20:01,215,477
2020-06-15,2020-08-15 17:20:01,95,1816
2020-05-14,2020-08-15 17:20:01,264,1777
2020-07-20,2020-08-15 17:20:01,124,2316
2020-04-30,2020-08-15 17:20:01,431,1392
2020-08-11,2020-08-15 17:20:01,162,3161
2020-04-18,2020-08-15 17:20:01,275,575
2020-03-16,2020-08-15 17:20:01,7,88
2020-07-11,2020-08-15 17:20:01,98,1388
2020-05-26,2020-08-15 17:20:01,214,1777
2020-06-12,2020-08-15 17:20:01,104,1868
2020-03-26,2020-08-15 17:20:01,195,565
2020-08-02,2020-08-15 17:20:01,84,2342
2020-07-24,2020-08-15 17:20:01,211,3322
2020-04-29,2020-08-15 17:20:01,522,1597
2020-05-25,2020-08-15 17:20:01,129,1292
2020-07-14,2020-08-15 17:20:01,144,2319
2020-04-27,2020-08-15 17:20:01,425,823
2020-03-27,2020-08-15 17:20:01,223,770
2020-08-01,2020-08-15 17:20:01,65,2047
2020-06-02,2020-08-15 17:20:01,134,1522
2020-04-05,2020-08-15 17:20:01,410,663
2020-04-21,2020-08-15 17:20:01,504,921
