collection_date,etl_timestamp,positive,negative
2020-06-08,2020-09-29 17:20:02,151,1531
2020-05-28,2020-09-29 17:20:02,175,1832
2020-06-29,2020-09-29 17:20:02,152,2286
2020-09-09,2020-09-29 17:20:02,104,3136
2020-04-21,2020-09-29 17:20:02,414,939
2020-04-07,2020-09-29 17:20:02,598,737
2020-08-22,2020-09-29 17:20:02,73,2681
2020-07-20,2020-09-29 17:20:02,154,2638
2020-04-30,2020-09-29 17:20:02,416,1234
2020-08-31,2020-09-29 17:20:02,235,2119
2020-06-19,2020-09-29 17:20:02,127,2160
2020-09-26,2020-09-29 17:20:02,54,2454
2020-05-06,2020-09-29 17:20:02,370,1478
2020-08-11,2020-09-29 17:20:02,157,3107
2020-04-18,2020-09-29 17:20:02,258,462
2020-03-16,2020-09-29 17:20:02,35,217
2020-07-11,2020-09-29 17:20:02,114,1488
2020-05-26,2020-09-29 17:20:02,245,1981
2020-06-12,2020-09-29 17:20:02,100,1895
2020-05-19,2020-09-29 17:20:02,270,1603
2020-09-13,2020-09-29 17:20:02,37,2331
2020-08-27,2020-09-29 17:20:02,152,2448
2020-05-04,2020-09-29 17:20:02,466,1120
2020-03-26,2020-09-29 17:20:02,318,610
2020-08-02,2020-09-29 17:20:02,69,2303
2020-09-04,2020-09-29 17:20:02,88,3035
2020-04-26,2020-09-29 17:20:02,206,526
2020-09-15,2020-09-29 17:20:02,95,3212
2020-05-17,2020-09-29 17:20:02,96,1169
2020-06-27,2020-09-29 17:20:02,81,1452
2020-06-03,2020-09-29 17:20:02,145,1635
2020-07-18,2020-09-29 17:20:02,96,2205
2020-08-16,2020-09-29 17:20:02,50,2251
2020-04-13,2020-09-29 17:20:02,453,437
2020-04-03,2020-09-29 17:20:02,524,871
2020-07-25,2020-09-29 17:20:02,83,2491
2020-09-14,2020-09-29 17:20:02,100,2720
2020-05-18,2020-09-29 17:20:02,278,1012
2020-04-08,2020-09-29 17:20:02,551,946
2020-08-21,2020-09-29 17:20:02,85,2840
2020-04-15,2020-09-29 17:20:02,536,943
2020-08-14,2020-09-29 17:20:02,130,3253
2020-08-28,2020-09-29 17:20:02,162,3125
2020-05-03,2020-09-29 17:20:02,138,604
2020-07-08,2020-09-29 17:20:02,171,2938
2020-03-13,2020-09-29 17:20:02,12,114
2020-07-14,2020-09-29 17:20:02,198,2561
2020-06-09,2020-09-29 17:20:02,146,2091
2020-06-22,2020-09-29 17:20:02,134,1768
2020-06-30,2020-09-29 17:20:02,148,2269
2020-07-17,2020-09-29 17:20:02,176,2940
2020-08-25,2020-09-29 17:20:02,121,2872
2020-04-04,2020-09-29 17:20:02,307,779
2020-08-07,2020-09-29 17:20:02,109,2464
2020-03-21,2020-09-29 17:20:02,93,79
2020-04-06,2020-09-29 17:20:02,580,930
2020-08-23,2020-09-29 17:20:02,41,1832
2020-04-27,2020-09-29 17:20:02,520,1033
2020-09-03,2020-09-29 17:20:02,115,2982
2020-06-07,2020-09-29 17:20:02,56,1137
2020-08-04,2020-09-29 17:20:02,87,2743
2020-03-24,2020-09-29 17:20:02,178,451
2020-07-12,2020-09-29 17:20:02,95,1305
2020-03-15,2020-09-29 17:20:02,15,73
2020-06-23,2020-09-29 17:20:02,175,2153
2020-06-15,2020-09-29 17:20:02,121,1957
2020-06-16,2020-09-29 17:20:02,116,2194
2020-05-07,2020-09-29 17:20:02,373,1343
2020-09-25,2020-09-29 17:20:02,86,3680
2020-07-06,2020-09-29 17:20:02,142,2327
2020-05-23,2020-09-29 17:20:02,117,1433
2020-05-16,2020-09-29 17:20:02,106,1248
2020-09-16,2020-09-29 17:20:02,95,3514
2020-09-10,2020-09-29 17:20:02,118,2830
2020-04-20,2020-09-29 17:20:02,627,813
2020-05-08,2020-09-29 17:20:02,277,1304
2020-09-24,2020-09-29 17:20:02,103,3164
2020-06-18,2020-09-29 17:20:02,144,1911
2020-03-28,2020-09-29 17:20:02,201,434
2020-07-31,2020-09-29 17:20:02,139,2844
2020-06-24,2020-09-29 17:20:02,152,1996
2020-08-18,2020-09-29 17:20:02,127,3110
2020-04-11,2020-09-29 17:20:02,221,553
2020-07-24,2020-09-29 17:20:02,170,3261
2020-08-09,2020-09-29 17:20:02,76,2398
2020-03-19,2020-09-29 17:20:02,103,129
2020-04-29,2020-09-29 17:20:02,451,1553
2020-09-01,2020-09-29 17:20:02,158,3516
2020-07-01,2020-09-29 17:20:02,175,2045
2020-05-25,2020-09-29 17:20:02,103,1305
2020-08-13,2020-09-29 17:20:02,142,2950
2020-04-16,2020-09-29 17:20:02,531,854
2020-09-19,2020-09-29 17:20:02,61,2789
2020-05-13,2020-09-29 17:20:02,288,1510
2020-06-05,2020-09-29 17:20:02,130,1451
2020-09-28,2020-09-29 17:20:02,14,1582
2020-06-17,2020-09-29 17:20:02,150,2543
2020-04-12,2020-09-29 17:20:02,203,635
2020-08-17,2020-09-29 17:20:02,117,2593
2020-03-10,2020-09-29 17:20:02,NA,20
2020-05-21,2020-09-29 17:20:02,300,2075
2020-09-11,2020-09-29 17:20:02,125,2806
2020-09-29,2020-09-29 17:20:02,NA,114
2020-06-04,2020-09-29 17:20:02,118,1286
2020-06-28,2020-09-29 17:20:02,71,1636
2020-05-10,2020-09-29 17:20:02,77,717
2020-09-22,2020-09-29 17:20:02,95,3519
2020-07-27,2020-09-29 17:20:02,155,2139
2020-04-01,2020-09-29 17:20:02,446,761
2020-05-22,2020-09-29 17:20:02,243,1679
2020-07-05,2020-09-29 17:20:02,69,1336
2020-04-14,2020-09-29 17:20:02,612,623
2020-08-15,2020-09-29 17:20:02,85,2498
2020-08-05,2020-09-29 17:20:02,193,4147
2020-03-23,2020-09-29 17:20:02,169,390
2020-07-21,2020-09-29 17:20:02,177,2552
2020-06-26,2020-09-29 17:20:02,129,1555
2020-06-13,2020-09-29 17:20:02,76,1738
2020-03-17,2020-09-29 17:20:02,69,301
2020-07-10,2020-09-29 17:20:02,126,1530
2020-03-31,2020-09-29 17:20:02,478,770
2020-07-28,2020-09-29 17:20:02,129,2725
2020-07-19,2020-09-29 17:20:02,69,2014
2020-03-08,2020-09-29 17:20:02,NA,9
2020-04-22,2020-09-29 17:20:02,502,999
2020-09-08,2020-09-29 17:20:02,88,2399
2020-06-01,2020-09-29 17:20:02,108,1313
2020-09-07,2020-09-29 17:20:02,29,1459
2020-04-23,2020-09-29 17:20:02,449,1191
2020-05-31,2020-09-29 17:20:02,60,1366
2020-07-15,2020-09-29 17:20:02,178,2705
2020-03-12,2020-09-29 17:20:02,NA,66
2020-04-17,2020-09-29 17:20:02,473,848
2020-08-12,2020-09-29 17:20:02,127,4026
2020-07-04,2020-09-29 17:20:02,47,1239
2020-05-24,2020-09-29 17:20:02,98,1414
2020-03-27,2020-09-29 17:20:02,320,732
2020-08-01,2020-09-29 17:20:02,62,1822
2020-05-02,2020-09-29 17:20:02,224,859
2020-08-29,2020-09-29 17:20:02,79,2254
2020-06-02,2020-09-29 17:20:02,114,1523
2020-08-24,2020-09-29 17:20:02,145,2340
2020-04-05,2020-09-29 17:20:02,253,626
2020-06-10,2020-09-29 17:20:02,113,1933
2020-07-03,2020-09-29 17:20:02,96,2448
2020-03-11,2020-09-29 17:20:02,6,40
2020-07-16,2020-09-29 17:20:02,156,2696
2020-09-20,2020-09-29 17:20:02,32,2069
2020-05-12,2020-09-29 17:20:02,279,1258
2020-06-21,2020-09-29 17:20:02,80,1062
2020-07-09,2020-09-29 17:20:02,158,2136
2020-03-18,2020-09-29 17:20:02,72,286
2020-09-17,2020-09-29 17:20:02,87,3520
2020-05-15,2020-09-29 17:20:02,273,1700
2020-03-30,2020-09-29 17:20:02,456,496
2020-07-29,2020-09-29 17:20:02,177,2795
2020-04-09,2020-09-29 17:20:02,438,826
2020-08-20,2020-09-29 17:20:02,126,2807
2020-07-22,2020-09-29 17:20:02,155,3615
2020-03-05,2020-09-29 17:20:02,NA,9
2020-09-27,2020-09-29 17:20:02,40,2013
2020-06-06,2020-09-29 17:20:02,60,1058
2020-09-05,2020-09-29 17:20:02,67,2278
2020-04-25,2020-09-29 17:20:02,254,698
2020-03-14,2020-09-29 17:20:02,14,103
2020-07-13,2020-09-29 17:20:02,167,2219
2020-07-07,2020-09-29 17:20:02,188,2485
2020-05-30,2020-09-29 17:20:02,75,1539
2020-06-14,2020-09-29 17:20:02,51,1330
2020-05-05,2020-09-29 17:20:02,420,1191
2020-08-26,2020-09-29 17:20:02,137,3240
2020-07-02,2020-09-29 17:20:02,138,1950
2020-04-28,2020-09-29 17:20:02,522,1228
2020-09-02,2020-09-29 17:20:02,124,3503
2020-04-10,2020-09-29 17:20:02,508,911
2020-08-19,2020-09-29 17:20:02,111,3441
2020-03-25,2020-09-29 17:20:02,224,661
2020-08-03,2020-09-29 17:20:02,144,2142
2020-06-11,2020-09-29 17:20:02,99,1502
2020-05-20,2020-09-29 17:20:02,300,1669
2020-09-12,2020-09-29 17:20:02,61,2771
2020-05-29,2020-09-29 17:20:02,196,1941
2020-07-30,2020-09-29 17:20:02,140,2898
2020-03-29,2020-09-29 17:20:02,216,525
2020-05-09,2020-09-29 17:20:02,120,967
2020-09-23,2020-09-29 17:20:02,99,3622
2020-09-18,2020-09-29 17:20:02,111,3294
2020-05-14,2020-09-29 17:20:02,250,1730
2020-04-02,2020-09-29 17:20:02,366,662
2020-07-26,2020-09-29 17:20:02,81,2214
2020-05-11,2020-09-29 17:20:02,286,1182
2020-09-21,2020-09-29 17:20:02,98,2933
2020-08-10,2020-09-29 17:20:02,160,2702
2020-04-19,2020-09-29 17:20:02,216,425
2020-05-27,2020-09-29 17:20:02,221,1975
2020-03-22,2020-09-29 17:20:02,84,91
2020-08-06,2020-09-29 17:20:02,142,2921
2020-04-24,2020-09-29 17:20:02,471,1146
2020-09-06,2020-09-29 17:20:02,52,2317
2020-05-01,2020-09-29 17:20:02,332,1063
2020-08-30,2020-09-29 17:20:02,86,2016
2020-03-20,2020-09-29 17:20:02,138,104
2020-08-08,2020-09-29 17:20:02,84,2045
2020-07-23,2020-09-29 17:20:02,189,3843
2020-06-20,2020-09-29 17:20:02,86,1984
2020-06-25,2020-09-29 17:20:02,154,2021
