date,etl_timestamp,NO_UNKNOWN,Yes
2020-04-08,2020-08-17 17:20:01,438,138
2020-07-25,2020-08-17 17:20:01,133,8
2020-05-16,2020-08-17 17:20:01,143,21
2020-03-27,2020-08-17 17:20:01,172,51
2020-04-12,2020-08-17 17:20:01,299,117
2020-06-23,2020-08-17 17:20:01,134,20
2020-05-06,2020-08-17 17:20:01,299,59
2020-06-11,2020-08-17 17:20:01,84,18
2020-04-21,2020-08-17 17:20:01,394,111
2020-08-02,2020-08-17 17:20:01,73,11
2020-03-20,2020-08-17 17:20:01,24,8
2020-07-21,2020-08-17 17:20:01,143,13
2020-04-15,2020-08-17 17:20:01,444,160
2020-03-30,2020-08-17 17:20:01,168,72
2020-05-02,2020-08-17 17:20:01,232,72
2020-05-31,2020-08-17 17:20:01,81,30
2020-06-16,2020-08-17 17:20:01,74,13
2020-05-28,2020-08-17 17:20:01,174,33
2020-06-10,2020-08-17 17:20:01,90,21
2020-07-19,2020-08-17 17:20:01,97,8
2020-06-30,2020-08-17 17:20:01,115,13
2020-08-03,2020-08-17 17:20:01,79,8
2020-06-07,2020-08-17 17:20:01,70,19
2020-05-14,2020-08-17 17:20:01,220,44
2020-07-20,2020-08-17 17:20:01,108,16
2020-07-18,2020-08-17 17:20:01,95,15
2020-08-09,2020-08-17 17:20:01,100,9
2020-04-06,2020-08-17 17:20:01,417,135
2020-07-23,2020-08-17 17:20:01,206,14
2020-08-04,2020-08-17 17:20:01,94,9
2020-06-20,2020-08-17 17:20:01,105,19
2020-05-17,2020-08-17 17:20:01,109,33
2020-05-08,2020-08-17 17:20:01,290,65
2020-05-05,2020-08-17 17:20:01,278,87
2020-06-06,2020-08-17 17:20:01,60,22
2020-04-19,2020-08-17 17:20:01,170,91
2020-07-06,2020-08-17 17:20:01,95,19
2020-04-22,2020-08-17 17:20:01,419,112
2020-04-29,2020-08-17 17:20:01,420,102
2020-07-04,2020-08-17 17:20:01,57,12
2020-05-23,2020-08-17 17:20:01,157,33
2020-05-12,2020-08-17 17:20:01,199,49
2020-06-13,2020-08-17 17:20:01,79,18
2020-05-01,2020-08-17 17:20:01,309,105
2020-05-19,2020-08-17 17:20:01,211,47
2020-03-24,2020-08-17 17:20:01,79,38
2020-03-23,2020-08-17 17:20:01,53,17
2020-05-25,2020-08-17 17:20:01,100,29
2020-07-26,2020-08-17 17:20:01,80,12
2020-07-27,2020-08-17 17:20:01,134,27
2020-07-02,2020-08-17 17:20:01,103,17
2020-07-28,2020-08-17 17:20:01,112,NA
2020-04-01,2020-08-17 17:20:01,306,115
2020-06-28,2020-08-17 17:20:01,77,14
2020-08-10,2020-08-17 17:20:01,98,NA
2020-06-02,2020-08-17 17:20:01,111,23
2020-08-07,2020-08-17 17:20:01,97,NA
2020-05-26,2020-08-17 17:20:01,186,28
2020-07-09,2020-08-17 17:20:01,101,12
2020-05-30,2020-08-17 17:20:01,106,19
2020-05-18,2020-08-17 17:20:01,152,29
2020-06-04,2020-08-17 17:20:01,63,22
2020-07-13,2020-08-17 17:20:01,115,21
2020-05-15,2020-08-17 17:20:01,213,48
2020-03-21,2020-08-17 17:20:01,43,10
2020-07-24,2020-08-17 17:20:01,192,19
2020-04-25,2020-08-17 17:20:01,225,102
2020-04-05,2020-08-17 17:20:01,313,97
2020-08-05,2020-08-17 17:20:01,124,7
2020-07-11,2020-08-17 17:20:01,84,14
2020-05-22,2020-08-17 17:20:01,169,33
2020-06-26,2020-08-17 17:20:01,72,15
2020-05-20,2020-08-17 17:20:01,172,22
2020-04-24,2020-08-17 17:20:01,384,106
2020-06-01,2020-08-17 17:20:01,74,27
2020-04-10,2020-08-17 17:20:01,451,126
2020-06-29,2020-08-17 17:20:01,114,14
