date,etl_timestamp,Yes,NO_UNKNOWN
2020-03-20,2020-09-25 17:20:02,8,24
2020-03-19,2020-09-25 17:20:02,5,27
2020-04-11,2020-09-25 17:20:02,122,294
2020-07-16,2020-09-25 17:20:02,14,132
2020-05-10,2020-09-25 17:20:02,25,100
2020-05-24,2020-09-25 17:20:02,25,152
2020-05-11,2020-09-25 17:20:02,60,188
2020-08-12,2020-09-25 17:20:02,7,194
2020-04-16,2020-09-25 17:20:02,144,380
2020-09-02,2020-09-25 17:20:02,8,135
2020-06-06,2020-09-25 17:20:02,22,62
2020-07-31,2020-09-25 17:20:02,18,131
2020-09-03,2020-09-25 17:20:02,7,121
2020-06-26,2020-09-25 17:20:02,16,72
2020-08-20,2020-09-25 17:20:02,8,100
2020-06-19,2020-09-25 17:20:02,14,107
2020-07-07,2020-09-25 17:20:02,16,123
2020-09-11,2020-09-25 17:20:02,5,84
2020-07-04,2020-09-25 17:20:02,14,55
2020-07-29,2020-09-25 17:20:02,20,133
2020-05-04,2020-09-25 17:20:02,81,292
2020-09-22,2020-09-25 17:20:02,NA,91
2020-09-01,2020-09-25 17:20:02,9,205
2020-03-26,2020-09-25 17:20:02,65,129
2020-06-09,2020-09-25 17:20:02,23,119
2020-05-17,2020-09-25 17:20:02,33,109
2020-07-08,2020-09-25 17:20:02,13,110
2020-09-19,2020-09-25 17:20:02,NA,68
NA,2020-09-25 17:20:02,10,50
2020-09-04,2020-09-25 17:20:02,10,89
2020-06-15,2020-09-25 17:20:02,21,74
2020-04-06,2020-09-25 17:20:02,135,420
2020-04-20,2020-09-25 17:20:02,128,364
2020-06-12,2020-09-25 17:20:02,27,79
2020-04-17,2020-09-25 17:20:02,130,470
2020-04-08,2020-09-25 17:20:02,138,441
2020-07-25,2020-09-25 17:20:02,9,132
2020-05-16,2020-09-25 17:20:02,23,144
2020-03-27,2020-09-25 17:20:02,50,173
2020-04-12,2020-09-25 17:20:02,117,301
2020-06-23,2020-09-25 17:20:02,21,134
