zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-09-24 17:20:02,463,154
19132,2020-09-24 17:20:02,608,235
19146,2020-09-24 17:20:02,618,133
19137,2020-09-24 17:20:02,105,11
19114,2020-09-24 17:20:02,573,96
19153,2020-09-24 17:20:02,227,54
19115,2020-09-24 17:20:02,898,136
19104,2020-09-24 17:20:02,621,229
19138,2020-09-24 17:20:02,642,154
19122,2020-09-24 17:20:02,451,98
19149,2020-09-24 17:20:02,1089,171
19123,2020-09-24 17:20:02,339,87
19101,2020-09-24 17:20:02,28,10
19130,2020-09-24 17:20:02,404,92
19143,2020-09-24 17:20:02,1214,331
19125,2020-09-24 17:20:02,305,78
19154,2020-09-24 17:20:02,669,67
19151,2020-09-24 17:20:02,703,147
19106,2020-09-24 17:20:02,112,13
19111,2020-09-24 17:20:02,1356,252
19147,2020-09-24 17:20:02,440,73
19144,2020-09-24 17:20:02,792,263
19126,2020-09-24 17:20:02,468,158
19121,2020-09-24 17:20:02,708,168
19118,2020-09-24 17:20:02,156,52
19133,2020-09-24 17:20:02,529,222
19128,2020-09-24 17:20:02,470,49
19103,2020-09-24 17:20:02,239,61
19127,2020-09-24 17:20:02,62,NA
19145,2020-09-24 17:20:02,843,159
19142,2020-09-24 17:20:02,665,177
19124,2020-09-24 17:20:02,1390,256
19105,2020-09-24 17:20:02,5,NA
19135,2020-09-24 17:20:02,641,83
19116,2020-09-24 17:20:02,772,123
19139,2020-09-24 17:20:02,847,287
19131,2020-09-24 17:20:02,936,298
19136,2020-09-24 17:20:02,1079,156
19120,2020-09-24 17:20:02,1478,300
19141,2020-09-24 17:20:02,579,193
19107,2020-09-24 17:20:02,239,59
19140,2020-09-24 17:20:02,1111,410
19152,2020-09-24 17:20:02,788,191
19134,2020-09-24 17:20:02,950,256
19150,2020-09-24 17:20:02,485,95
19148,2020-09-24 17:20:02,920,206
19102,2020-09-24 17:20:02,74,5
19129,2020-09-24 17:20:02,138,25
