zip_code,etl_timestamp,Yes,NO_UNKNOWN
19124,2020-09-29 17:20:02,256,1436
19123,2020-09-29 17:20:02,87,350
19135,2020-09-29 17:20:02,83,665
19133,2020-09-29 17:20:02,222,555
19144,2020-09-29 17:20:02,263,806
19106,2020-09-29 17:20:02,14,115
19102,2020-09-29 17:20:02,5,75
19104,2020-09-29 17:20:02,233,643
19125,2020-09-29 17:20:02,77,326
19130,2020-09-29 17:20:02,93,422
19122,2020-09-29 17:20:02,98,475
19129,2020-09-29 17:20:02,26,147
19120,2020-09-29 17:20:02,301,1514
19115,2020-09-29 17:20:02,139,920
19140,2020-09-29 17:20:02,413,1137
19148,2020-09-29 17:20:02,211,939
19147,2020-09-29 17:20:02,74,455
19101,2020-09-29 17:20:02,10,29
19137,2020-09-29 17:20:02,11,108
19126,2020-09-29 17:20:02,165,476
19142,2020-09-29 17:20:02,179,679
19153,2020-09-29 17:20:02,54,238
19150,2020-09-29 17:20:02,96,494
19143,2020-09-29 17:20:02,335,1241
19116,2020-09-29 17:20:02,124,798
19154,2020-09-29 17:20:02,66,697
19145,2020-09-29 17:20:02,161,863
19127,2020-09-29 17:20:02,NA,68
19107,2020-09-29 17:20:02,59,247
19141,2020-09-29 17:20:02,195,590
19131,2020-09-29 17:20:02,298,958
19105,2020-09-29 17:20:02,NA,5
19121,2020-09-29 17:20:02,170,743
19134,2020-09-29 17:20:02,259,991
19152,2020-09-29 17:20:02,192,826
19138,2020-09-29 17:20:02,155,665
19146,2020-09-29 17:20:02,133,630
19128,2020-09-29 17:20:02,49,494
19119,2020-09-29 17:20:02,154,470
19149,2020-09-29 17:20:02,171,1132
19151,2020-09-29 17:20:02,151,705
19118,2020-09-29 17:20:02,52,159
19114,2020-09-29 17:20:02,97,587
19139,2020-09-29 17:20:02,290,863
19103,2020-09-29 17:20:02,61,255
19132,2020-09-29 17:20:02,237,614
19111,2020-09-29 17:20:02,252,1415
19136,2020-09-29 17:20:02,156,1109
