result_date,etl_timestamp,negative,positive
2020-06-21,2020-07-15 17:20:01,1086,66
2020-06-08,2020-07-15 17:20:01,1402,112
2020-06-30,2020-07-15 17:20:01,2119,130
2020-03-22,2020-07-15 17:20:01,165,50
2020-04-25,2020-07-15 17:20:01,859,329
2020-05-21,2020-07-15 17:20:01,2157,319
2020-04-12,2020-07-15 17:20:01,709,419
2020-04-30,2020-07-15 17:20:01,1437,436
2020-05-03,2020-07-15 17:20:01,636,169
2020-04-07,2020-07-15 17:20:01,793,513
2020-06-17,2020-07-15 17:20:01,2474,145
2020-05-14,2020-07-15 17:20:01,1781,263
2020-04-27,2020-07-15 17:20:01,842,429
2020-03-23,2020-07-15 17:20:01,311,73
2020-07-05,2020-07-15 17:20:01,1193,80
2020-06-16,2020-07-15 17:20:01,2182,89
2020-07-10,2020-07-15 17:20:01,1871,103
2020-03-17,2020-07-15 17:20:01,160,16
2020-05-04,2020-07-15 17:20:01,819,375
2020-03-28,2020-07-15 17:20:01,473,146
2020-05-09,2020-07-15 17:20:01,1187,225
2020-06-01,2020-07-15 17:20:01,1251,104
2020-04-04,2020-07-15 17:20:01,822,552
2020-05-16,2020-07-15 17:20:01,1367,166
2020-06-09,2020-07-15 17:20:01,1970,142
2020-07-14,2020-07-15 17:20:01,1717,56
2020-03-13,2020-07-15 17:20:01,47,NA
2020-06-05,2020-07-15 17:20:01,1463,122
2020-06-22,2020-07-15 17:20:01,1570,109
2020-05-13,2020-07-15 17:20:01,1496,246
2020-03-29,2020-07-15 17:20:01,487,215
2020-05-29,2020-07-15 17:20:01,1970,206
2020-07-08,2020-07-15 17:20:01,3050,118
2020-05-20,2020-07-15 17:20:01,1706,194
2020-03-26,2020-07-15 17:20:01,573,194
2020-03-08,2020-07-15 17:20:01,11,NA
2020-04-23,2020-07-15 17:20:01,1235,573
2020-03-31,2020-07-15 17:20:01,742,363
2020-05-23,2020-07-15 17:20:01,1543,196
2020-04-15,2020-07-15 17:20:01,872,603
2020-06-19,2020-07-15 17:20:01,2111,120
2020-05-18,2020-07-15 17:20:01,894,184
2020-06-14,2020-07-15 17:20:01,1250,60
2020-04-21,2020-07-15 17:20:01,924,508
2020-06-26,2020-07-15 17:20:01,1570,84
2020-04-28,2020-07-15 17:20:01,1147,473
2020-04-03,2020-07-15 17:20:01,911,512
2020-07-03,2020-07-15 17:20:01,2583,129
2020-05-24,2020-07-15 17:20:01,1413,178
2020-04-17,2020-07-15 17:20:01,1028,602
2020-06-06,2020-07-15 17:20:01,1165,84
2020-04-09,2020-07-15 17:20:01,855,584
2020-06-24,2020-07-15 17:20:01,2094,129
2020-07-07,2020-07-15 17:20:01,2413,139
2020-03-15,2020-07-15 17:20:01,30,NA
2020-07-12,2020-07-15 17:20:01,1200,85
2020-05-26,2020-07-15 17:20:01,1778,222
2020-04-18,2020-07-15 17:20:01,583,275
2020-06-03,2020-07-15 17:20:01,1634,148
2020-05-08,2020-07-15 17:20:01,1295,358
2020-06-28,2020-07-15 17:20:01,1594,95
2020-07-09,2020-07-15 17:20:01,2386,110
2020-03-18,2020-07-15 17:20:01,170,8
2020-06-10,2020-07-15 17:20:01,2129,114
2020-03-20,2020-07-15 17:20:01,173,33
2020-04-05,2020-07-15 17:20:01,662,411
2020-03-21,2020-07-15 17:20:01,340,53
2020-05-01,2020-07-15 17:20:01,1124,419
2020-05-07,2020-07-15 17:20:01,1415,313
2020-05-02,2020-07-15 17:20:01,914,307
2020-03-24,2020-07-15 17:20:01,481,117
2020-06-23,2020-07-15 17:20:01,2250,154
2020-04-10,2020-07-15 17:20:01,924,584
2020-06-11,2020-07-15 17:20:01,1592,104
2020-04-11,2020-07-15 17:20:01,679,416
2020-05-10,2020-07-15 17:20:01,778,123
2020-03-12,2020-07-15 17:20:01,21,NA
2020-04-19,2020-07-15 17:20:01,467,261
2020-06-25,2020-07-15 17:20:01,2145,123
2020-05-11,2020-07-15 17:20:01,884,249
2020-04-20,2020-07-15 17:20:01,668,494
2020-05-25,2020-07-15 17:20:01,1304,128
2020-07-15,2020-07-15 17:20:01,35,NA
2020-04-02,2020-07-15 17:20:01,709,364
2020-07-02,2020-07-15 17:20:01,2015,117
2020-05-30,2020-07-15 17:20:01,1535,129
2020-04-22,2020-07-15 17:20:01,1027,532
2020-04-14,2020-07-15 17:20:01,517,381
2020-05-31,2020-07-15 17:20:01,1426,112
2020-05-06,2020-07-15 17:20:01,1553,357
2020-06-20,2020-07-15 17:20:01,2087,124
2020-07-01,2020-07-15 17:20:01,2357,159
2020-03-19,2020-07-15 17:20:01,267,32
2020-05-17,2020-07-15 17:20:01,1174,142
2020-05-28,2020-07-15 17:20:01,2025,208
2020-06-04,2020-07-15 17:20:01,1345,87
2020-03-30,2020-07-15 17:20:01,464,241
2020-04-26,2020-07-15 17:20:01,623,207
2020-05-15,2020-07-15 17:20:01,1726,264
2020-06-12,2020-07-15 17:20:01,1862,105
2020-03-16,2020-07-15 17:20:01,84,7
2020-07-11,2020-07-15 17:20:01,1399,96
2020-03-27,2020-07-15 17:20:01,776,223
2020-06-15,2020-07-15 17:20:01,1832,95
2020-04-08,2020-07-15 17:20:01,923,579
2020-04-24,2020-07-15 17:20:01,1153,491
2020-07-04,2020-07-15 17:20:01,1328,64
2020-06-29,2020-07-15 17:20:01,2110,127
2020-04-29,2020-07-15 17:20:01,1632,523
2020-06-18,2020-07-15 17:20:01,2125,102
2020-04-13,2020-07-15 17:20:01,357,253
2020-06-13,2020-07-15 17:20:01,1772,99
2020-06-27,2020-07-15 17:20:01,1563,109
2020-05-19,2020-07-15 17:20:01,1501,259
2020-05-27,2020-07-15 17:20:01,1952,189
2020-04-01,2020-07-15 17:20:01,749,421
2020-03-25,2020-07-15 17:20:01,668,171
2020-05-12,2020-07-15 17:20:01,1361,247
2020-06-02,2020-07-15 17:20:01,1526,133
2020-07-06,2020-07-15 17:20:01,1930,115
2020-05-22,2020-07-15 17:20:01,1751,204
2020-04-06,2020-07-15 17:20:01,867,554
2020-03-14,2020-07-15 17:20:01,49,6
2020-07-13,2020-07-15 17:20:01,2008,115
2020-06-07,2020-07-15 17:20:01,1108,90
2020-05-05,2020-07-15 17:20:01,1265,366
2020-04-16,2020-07-15 17:20:01,775,524
2020-03-11,2020-07-15 17:20:01,12,NA
