zip_code,covid_outcome,count,etl_timestamp
19138,DIED,27,2020-06-12 17:20:01
19125,DIED,11,2020-06-12 17:20:01
19144,DIED,72,2020-06-12 17:20:01
19152,DIED,59,2020-06-12 17:20:01
19153,DIED,8,2020-06-12 17:20:01
19133,DIED,15,2020-06-12 17:20:01
19126,DIED,80,2020-06-12 17:20:01
19119,DIED,61,2020-06-12 17:20:01
19120,DIED,24,2020-06-12 17:20:01
19128,DIED,14,2020-06-12 17:20:01
19104,DIED,59,2020-06-12 17:20:01
19149,DIED,26,2020-06-12 17:20:01
19143,DIED,46,2020-06-12 17:20:01
19146,DIED,28,2020-06-12 17:20:01
19135,DIED,11,2020-06-12 17:20:01
19151,DIED,24,2020-06-12 17:20:01
19154,DIED,25,2020-06-12 17:20:01
19132,DIED,32,2020-06-12 17:20:01
19111,DIED,56,2020-06-12 17:20:01
19114,DIED,28,2020-06-12 17:20:01
19147,DIED,11,2020-06-12 17:20:01
19139,DIED,56,2020-06-12 17:20:01
19124,DIED,28,2020-06-12 17:20:01
19142,DIED,19,2020-06-12 17:20:01
19118,DIED,21,2020-06-12 17:20:01
19122,DIED,14,2020-06-12 17:20:01
19123,DIED,28,2020-06-12 17:20:01
19130,DIED,14,2020-06-12 17:20:01
19116,DIED,60,2020-06-12 17:20:01
19140,DIED,43,2020-06-12 17:20:01
19134,DIED,19,2020-06-12 17:20:01
19145,DIED,22,2020-06-12 17:20:01
19121,DIED,19,2020-06-12 17:20:01
19107,DIED,8,2020-06-12 17:20:01
19150,DIED,19,2020-06-12 17:20:01
19131,DIED,78,2020-06-12 17:20:01
19148,DIED,48,2020-06-12 17:20:01
19115,DIED,93,2020-06-12 17:20:01
19136,DIED,62,2020-06-12 17:20:01
19103,DIED,24,2020-06-12 17:20:01
19141,DIED,36,2020-06-12 17:20:01
