zip_code,covid_outcome,count,etl_timestamp
19107,DIED,10,2020-09-22 17:20:03
19132,DIED,38,2020-09-22 17:20:03
19111,DIED,72,2020-09-22 17:20:03
19115,DIED,114,2020-09-22 17:20:03
19136,DIED,69,2020-09-22 17:20:03
19114,DIED,34,2020-09-22 17:20:03
19142,DIED,29,2020-09-22 17:20:03
19147,DIED,14,2020-09-22 17:20:03
19123,DIED,32,2020-09-22 17:20:03
19118,DIED,23,2020-09-22 17:20:03
19129,DIED,7,2020-09-22 17:20:03
19119,DIED,70,2020-09-22 17:20:03
19134,DIED,27,2020-09-22 17:20:03
19152,DIED,71,2020-09-22 17:20:03
19133,DIED,24,2020-09-22 17:20:03
19104,DIED,77,2020-09-22 17:20:03
19146,DIED,33,2020-09-22 17:20:03
19151,DIED,28,2020-09-22 17:20:03
19128,DIED,20,2020-09-22 17:20:03
19148,DIED,54,2020-09-22 17:20:03
19149,DIED,32,2020-09-22 17:20:03
19143,DIED,53,2020-09-22 17:20:03
19150,DIED,25,2020-09-22 17:20:03
19135,DIED,15,2020-09-22 17:20:03
19131,DIED,96,2020-09-22 17:20:03
19154,DIED,30,2020-09-22 17:20:03
19138,DIED,32,2020-09-22 17:20:03
19139,DIED,65,2020-09-22 17:20:03
19130,DIED,19,2020-09-22 17:20:03
19103,DIED,25,2020-09-22 17:20:03
19125,DIED,15,2020-09-22 17:20:03
19141,DIED,43,2020-09-22 17:20:03
19124,DIED,36,2020-09-22 17:20:03
19144,DIED,97,2020-09-22 17:20:03
19122,DIED,18,2020-09-22 17:20:03
19153,DIED,9,2020-09-22 17:20:03
19116,DIED,77,2020-09-22 17:20:03
19140,DIED,58,2020-09-22 17:20:03
19121,DIED,26,2020-09-22 17:20:03
19126,DIED,95,2020-09-22 17:20:03
19120,DIED,35,2020-09-22 17:20:03
19145,DIED,31,2020-09-22 17:20:03
