date,etl_timestamp,Yes,NO_UNKNOWN
2020-05-19,2020-09-19 17:20:03,48,210
2020-03-24,2020-09-19 17:20:03,39,78
2020-03-23,2020-09-19 17:20:03,18,53
2020-04-08,2020-09-19 17:20:03,139,440
2020-05-25,2020-09-19 17:20:03,28,100
2020-07-26,2020-09-19 17:20:03,14,79
2020-05-06,2020-09-19 17:20:03,60,301
2020-07-27,2020-09-19 17:20:03,29,136
2020-07-02,2020-09-19 17:20:03,18,102
2020-08-31,2020-09-19 17:20:03,7,113
2020-07-28,2020-09-19 17:20:03,NA,111
2020-09-10,2020-09-19 17:20:03,5,93
2020-09-05,2020-09-19 17:20:03,NA,68
2020-08-09,2020-09-19 17:20:03,13,101
2020-04-01,2020-09-19 17:20:03,115,306
2020-06-28,2020-09-19 17:20:03,16,80
2020-07-19,2020-09-19 17:20:03,9,96
2020-08-19,2020-09-19 17:20:03,5,112
2020-08-10,2020-09-19 17:20:03,12,98
2020-06-02,2020-09-19 17:20:03,24,109
2020-08-07,2020-09-19 17:20:03,8,94
2020-05-26,2020-09-19 17:20:03,29,193
2020-07-09,2020-09-19 17:20:03,12,104
2020-08-29,2020-09-19 17:20:03,12,110
2020-07-18,2020-09-19 17:20:03,17,100
2020-08-16,2020-09-19 17:20:03,12,83
2020-05-30,2020-09-19 17:20:03,19,107
2020-05-18,2020-09-19 17:20:03,29,153
2020-06-04,2020-09-19 17:20:03,22,63
2020-07-13,2020-09-19 17:20:03,21,117
2020-05-15,2020-09-19 17:20:03,49,215
2020-03-21,2020-09-19 17:20:03,9,45
2020-07-24,2020-09-19 17:20:03,21,192
2020-04-25,2020-09-19 17:20:03,102,227
2020-04-05,2020-09-19 17:20:03,98,313
2020-08-27,2020-09-19 17:20:03,10,132
2020-08-15,2020-09-19 17:20:03,7,100
2020-08-05,2020-09-19 17:20:03,10,134
2020-07-11,2020-09-19 17:20:03,16,84
2020-05-22,2020-09-19 17:20:03,33,170
2020-09-06,2020-09-19 17:20:03,NA,62
2020-06-26,2020-09-19 17:20:03,16,72
2020-08-23,2020-09-19 17:20:03,6,54
2020-05-20,2020-09-19 17:20:03,23,170
2020-04-24,2020-09-19 17:20:03,105,387
2020-09-16,2020-09-19 17:20:03,NA,74
2020-03-26,2020-09-19 17:20:03,66,129
2020-06-17,2020-09-19 17:20:03,19,125
2020-04-03,2020-09-19 17:20:03,131,381
2020-04-13,2020-09-19 17:20:03,108,146
2020-06-08,2020-09-19 17:20:03,21,90
2020-04-30,2020-09-19 17:20:03,98,337
2020-09-12,2020-09-19 17:20:03,NA,78
2020-08-22,2020-09-19 17:20:03,8,81
2020-06-29,2020-09-19 17:20:03,15,113
2020-03-28,2020-09-19 17:20:03,41,105
2020-04-23,2020-09-19 17:20:03,152,423
2020-03-31,2020-09-19 17:20:03,88,274
2020-03-17,2020-09-19 17:20:03,NA,13
2020-04-26,2020-09-19 17:20:03,92,114
2020-03-22,2020-09-19 17:20:03,12,38
2020-03-29,2020-09-19 17:20:03,53,162
2020-06-21,2020-09-19 17:20:03,13,53
2020-03-25,2020-09-19 17:20:03,40,129
2020-06-05,2020-09-19 17:20:03,22,97
2020-06-10,2020-09-19 17:20:03,21,93
2020-05-21,2020-09-19 17:20:03,38,281
2020-04-19,2020-09-19 17:20:03,93,170
2020-07-03,2020-09-19 17:20:03,12,118
2020-08-28,2020-09-19 17:20:03,8,120
2020-08-17,2020-09-19 17:20:03,12,76
2020-03-18,2020-09-19 17:20:03,NA,7
2020-05-27,2020-09-19 17:20:03,43,144
2020-05-13,2020-09-19 17:20:03,54,191
2020-04-09,2020-09-19 17:20:03,142,441
2020-05-08,2020-09-19 17:20:03,63,291
2020-08-01,2020-09-19 17:20:03,14,57
2020-07-06,2020-09-19 17:20:03,19,97
2020-04-12,2020-09-19 17:20:03,117,301
2020-07-16,2020-09-19 17:20:03,14,132
2020-07-30,2020-09-19 17:20:03,7,129
2020-06-27,2020-09-19 17:20:03,15,97
2020-07-25,2020-09-19 17:20:03,8,133
2020-08-08,2020-09-19 17:20:03,8,86
2020-07-22,2020-09-19 17:20:03,10,194
2020-06-30,2020-09-19 17:20:03,13,116
2020-08-11,2020-09-19 17:20:03,15,151
2020-06-03,2020-09-19 17:20:03,34,113
2020-08-26,2020-09-19 17:20:03,7,117
2020-08-30,2020-09-19 17:20:03,6,79
2020-08-14,2020-09-19 17:20:03,10,119
2020-05-07,2020-09-19 17:20:03,59,253
2020-05-23,2020-09-19 17:20:03,33,163
2020-07-12,2020-09-19 17:20:03,17,70
2020-07-29,2020-09-19 17:20:03,20,134
2020-06-14,2020-09-19 17:20:03,15,45
2020-07-23,2020-09-19 17:20:03,14,206
2020-05-12,2020-09-19 17:20:03,48,199
2020-07-14,2020-09-19 17:20:03,17,127
2020-05-09,2020-09-19 17:20:03,41,185
2020-04-28,2020-09-19 17:20:03,98,374
2020-08-02,2020-09-19 17:20:03,11,74
2020-04-15,2020-09-19 17:20:03,161,446
2020-06-01,2020-09-19 17:20:03,28,75
2020-08-25,2020-09-19 17:20:03,NA,98
2020-08-18,2020-09-19 17:20:03,10,114
2020-05-04,2020-09-19 17:20:03,81,291
2020-06-16,2020-09-19 17:20:03,13,75
2020-06-19,2020-09-19 17:20:03,14,107
2020-07-10,2020-09-19 17:20:03,17,96
2020-07-20,2020-09-19 17:20:03,16,109
2020-05-28,2020-09-19 17:20:03,34,176
2020-08-13,2020-09-19 17:20:03,NA,96
2020-04-14,2020-09-19 17:20:03,121,260
2020-09-09,2020-09-19 17:20:03,NA,59
2020-09-02,2020-09-19 17:20:03,NA,137
2020-05-24,2020-09-19 17:20:03,26,151
2020-06-24,2020-09-19 17:20:03,17,113
2020-03-14,2020-09-19 17:20:03,NA,5
2020-05-29,2020-09-19 17:20:03,28,178
2020-08-24,2020-09-19 17:20:03,7,72
2020-05-11,2020-09-19 17:20:03,59,188
2020-05-05,2020-09-19 17:20:03,87,281
2020-07-05,2020-09-19 17:20:03,11,69
2020-04-18,2020-09-19 17:20:03,78,197
2020-05-16,2020-09-19 17:20:03,23,144
2020-06-20,2020-09-19 17:20:03,19,105
2020-04-07,2020-09-19 17:20:03,139,373
2020-03-27,2020-09-19 17:20:03,50,173
2020-07-17,2020-09-19 17:20:03,25,175
2020-09-07,2020-09-19 17:20:03,NA,50
2020-07-01,2020-09-19 17:20:03,20,139
2020-08-06,2020-09-19 17:20:03,16,146
2020-09-01,2020-09-19 17:20:03,7,201
