date,etl_timestamp,NO_UNKNOWN,Yes
2020-09-16,2020-09-30 17:20:02,89,NA
2020-03-26,2020-09-30 17:20:02,128,66
2020-07-09,2020-09-30 17:20:02,106,12
2020-06-17,2020-09-30 17:20:02,125,19
2020-04-03,2020-09-30 17:20:02,382,131
2020-06-28,2020-09-30 17:20:02,82,16
2020-04-13,2020-09-30 17:20:02,146,108
2020-06-08,2020-09-30 17:20:02,90,21
2020-04-30,2020-09-30 17:20:02,336,98
2020-04-25,2020-09-30 17:20:02,225,104
2020-09-12,2020-09-30 17:20:02,79,6
2020-08-22,2020-09-30 17:20:02,83,8
2020-06-29,2020-09-30 17:20:02,114,14
2020-03-28,2020-09-30 17:20:02,109,41
2020-04-23,2020-09-30 17:20:02,423,152
2020-03-31,2020-09-30 17:20:02,274,88
2020-03-17,2020-09-30 17:20:02,13,NA
2020-08-05,2020-09-30 17:20:02,149,10
2020-04-26,2020-09-30 17:20:02,116,94
2020-03-22,2020-09-30 17:20:02,38,12
2020-03-29,2020-09-30 17:20:02,167,52
2020-06-21,2020-09-30 17:20:02,54,13
2020-03-25,2020-09-30 17:20:02,130,40
2020-06-05,2020-09-30 17:20:02,97,21
2020-08-27,2020-09-30 17:20:02,143,10
2020-09-25,2020-09-30 17:20:02,93,NA
2020-09-05,2020-09-30 17:20:02,74,10
2020-06-10,2020-09-30 17:20:02,93,21
2020-08-16,2020-09-30 17:20:02,85,12
2020-05-21,2020-09-30 17:20:02,281,38
2020-04-19,2020-09-30 17:20:02,169,92
2020-07-03,2020-09-30 17:20:02,118,12
2020-08-28,2020-09-30 17:20:02,123,8
2020-08-17,2020-09-30 17:20:02,77,12
2020-03-18,2020-09-30 17:20:02,7,NA
2020-05-27,2020-09-30 17:20:02,144,44
2020-05-13,2020-09-30 17:20:02,193,55
2020-07-27,2020-09-30 17:20:02,133,32
2020-04-09,2020-09-30 17:20:02,440,142
2020-05-08,2020-09-30 17:20:02,295,64
2020-08-01,2020-09-30 17:20:02,61,14
2020-07-06,2020-09-30 17:20:02,97,18
2020-04-12,2020-09-30 17:20:02,303,117
2020-05-19,2020-09-30 17:20:02,210,48
2020-07-16,2020-09-30 17:20:02,132,14
2020-07-30,2020-09-30 17:20:02,135,7
2020-06-27,2020-09-30 17:20:02,98,15
2020-09-20,2020-09-30 17:20:02,52,NA
2020-07-25,2020-09-30 17:20:02,134,9
2020-08-08,2020-09-30 17:20:02,94,8
2020-08-31,2020-09-30 17:20:02,125,8
2020-07-22,2020-09-30 17:20:02,197,10
2020-06-30,2020-09-30 17:20:02,115,14
2020-08-11,2020-09-30 17:20:02,157,15
2020-06-03,2020-09-30 17:20:02,114,34
2020-08-26,2020-09-30 17:20:02,122,8
2020-08-30,2020-09-30 17:20:02,96,7
2020-08-14,2020-09-30 17:20:02,121,11
2020-05-07,2020-09-30 17:20:02,255,58
2020-05-23,2020-09-30 17:20:02,163,33
2020-07-12,2020-09-30 17:20:02,71,17
2020-07-29,2020-09-30 17:20:02,136,20
2020-03-24,2020-09-30 17:20:02,83,39
2020-05-18,2020-09-30 17:20:02,154,29
2020-06-14,2020-09-30 17:20:02,45,15
2020-07-23,2020-09-30 17:20:02,209,14
2020-05-12,2020-09-30 17:20:02,199,49
2020-07-14,2020-09-30 17:20:02,131,17
2020-05-09,2020-09-30 17:20:02,186,41
2020-04-28,2020-09-30 17:20:02,374,98
2020-08-02,2020-09-30 17:20:02,85,13
2020-04-15,2020-09-30 17:20:02,447,161
2020-06-01,2020-09-30 17:20:02,72,31
2020-08-25,2020-09-30 17:20:02,103,5
2020-08-18,2020-09-30 17:20:02,116,10
2020-05-04,2020-09-30 17:20:02,293,80
2020-06-16,2020-09-30 17:20:02,75,13
2020-06-19,2020-09-30 17:20:02,105,14
2020-09-18,2020-09-30 17:20:02,101,NA
2020-08-23,2020-09-30 17:20:02,58,6
2020-07-10,2020-09-30 17:20:02,97,17
2020-07-13,2020-09-30 17:20:02,116,21
2020-07-20,2020-09-30 17:20:02,109,17
2020-05-28,2020-09-30 17:20:02,177,32
2020-08-13,2020-09-30 17:20:02,98,NA
2020-04-14,2020-09-30 17:20:02,263,119
2020-09-09,2020-09-30 17:20:02,70,NA
2020-09-02,2020-09-30 17:20:02,142,8
2020-05-24,2020-09-30 17:20:02,153,26
2020-06-24,2020-09-30 17:20:02,115,19
2020-03-14,2020-09-30 17:20:02,5,NA
2020-05-29,2020-09-30 17:20:02,178,28
2020-08-24,2020-09-30 17:20:02,78,7
2020-05-11,2020-09-30 17:20:02,187,58
2020-07-24,2020-09-30 17:20:02,194,21
2020-05-05,2020-09-30 17:20:02,282,86
2020-08-15,2020-09-30 17:20:02,101,7
2020-07-05,2020-09-30 17:20:02,70,13
2020-04-18,2020-09-30 17:20:02,199,79
2020-05-22,2020-09-30 17:20:02,170,33
2020-09-03,2020-09-30 17:20:02,127,7
2020-09-24,2020-09-30 17:20:02,88,NA
2020-05-16,2020-09-30 17:20:02,143,23
2020-06-20,2020-09-30 17:20:02,105,18
2020-04-07,2020-09-30 17:20:02,375,139
2020-03-27,2020-09-30 17:20:02,173,50
2020-07-17,2020-09-30 17:20:02,178,25
2020-09-07,2020-09-30 17:20:02,53,NA
2020-05-15,2020-09-30 17:20:02,218,49
2020-07-01,2020-09-30 17:20:02,140,20
2020-08-06,2020-09-30 17:20:02,161,16
2020-09-01,2020-09-30 17:20:02,216,9
2020-07-08,2020-09-30 17:20:02,111,13
2020-09-28,2020-09-30 17:20:02,98,NA
2020-09-23,2020-09-30 17:20:02,97,NA
2020-06-15,2020-09-30 17:20:02,74,21
2020-05-03,2020-09-30 17:20:02,120,50
2020-03-23,2020-09-30 17:20:02,55,18
2020-08-21,2020-09-30 17:20:02,80,13
2020-06-25,2020-09-30 17:20:02,112,14
2020-04-24,2020-09-30 17:20:02,389,105
2020-04-02,2020-09-30 17:20:02,242,120
2020-04-20,2020-09-30 17:20:02,366,128
2020-06-18,2020-09-30 17:20:02,94,9
2020-04-27,2020-09-30 17:20:02,321,110
2020-05-25,2020-09-30 17:20:02,101,28
2020-09-13,2020-09-30 17:20:02,58,NA
2020-07-15,2020-09-30 17:20:02,152,9
2020-04-10,2020-09-30 17:20:02,449,130
2020-07-26,2020-09-30 17:20:02,82,14
2020-06-11,2020-09-30 17:20:02,87,18
2020-03-20,2020-09-30 17:20:02,24,8
2020-03-19,2020-09-30 17:20:02,27,5
2020-04-11,2020-09-30 17:20:02,298,122
2020-05-10,2020-09-30 17:20:02,99,26
2020-08-12,2020-09-30 17:20:02,197,7
2020-04-16,2020-09-30 17:20:02,380,144
2020-09-27,2020-09-30 17:20:02,85,NA
2020-06-06,2020-09-30 17:20:02,62,22
2020-07-31,2020-09-30 17:20:02,132,18
2020-06-26,2020-09-30 17:20:02,73,16
2020-08-20,2020-09-30 17:20:02,105,8
2020-07-07,2020-09-30 17:20:02,123,16
2020-09-11,2020-09-30 17:20:02,93,5
2020-07-04,2020-09-30 17:20:02,57,14
2020-09-22,2020-09-30 17:20:02,100,NA
2020-06-09,2020-09-30 17:20:02,119,23
2020-05-17,2020-09-30 17:20:02,108,33
2020-09-19,2020-09-30 17:20:02,72,NA
NA,2020-09-30 17:20:02,52,12
2020-09-04,2020-09-30 17:20:02,94,10
2020-04-06,2020-09-30 17:20:02,421,135
2020-06-12,2020-09-30 17:20:02,80,27
2020-04-17,2020-09-30 17:20:02,469,132
2020-04-08,2020-09-30 17:20:02,442,139
2020-06-23,2020-09-30 17:20:02,134,21
2020-09-15,2020-09-30 17:20:02,108,6
2020-05-06,2020-09-30 17:20:02,302,60
2020-08-07,2020-09-30 17:20:02,102,8
2020-04-21,2020-09-30 17:20:02,395,113
2020-07-21,2020-09-30 17:20:02,143,15
2020-03-30,2020-09-30 17:20:02,173,73
2020-05-02,2020-09-30 17:20:02,235,72
2020-05-31,2020-09-30 17:20:02,82,32
2020-09-14,2020-09-30 17:20:02,75,NA
2020-07-19,2020-09-30 17:20:02,97,9
2020-08-03,2020-09-30 17:20:02,106,11
2020-06-07,2020-09-30 17:20:02,69,21
2020-05-14,2020-09-30 17:20:02,220,45
2020-08-29,2020-09-30 17:20:02,119,12
2020-07-18,2020-09-30 17:20:02,102,17
2020-08-10,2020-09-30 17:20:02,101,13
2020-08-09,2020-09-30 17:20:02,112,14
2020-08-04,2020-09-30 17:20:02,107,10
2020-04-22,2020-09-30 17:20:02,426,111
2020-09-08,2020-09-30 17:20:02,60,NA
2020-04-29,2020-09-30 17:20:02,420,104
2020-06-13,2020-09-30 17:20:02,80,19
2020-05-01,2020-09-30 17:20:02,314,107
2020-07-02,2020-09-30 17:20:02,102,19
2020-07-28,2020-09-30 17:20:02,123,NA
2020-09-10,2020-09-30 17:20:02,96,9
2020-04-01,2020-09-30 17:20:02,309,115
2020-08-19,2020-09-30 17:20:02,116,5
2020-06-02,2020-09-30 17:20:02,109,24
2020-05-26,2020-09-30 17:20:02,193,28
2020-05-30,2020-09-30 17:20:02,107,19
2020-06-04,2020-09-30 17:20:02,63,22
2020-03-21,2020-09-30 17:20:02,46,9
2020-04-05,2020-09-30 17:20:02,314,98
2020-07-11,2020-09-30 17:20:02,86,16
2020-09-06,2020-09-30 17:20:02,64,7
2020-05-20,2020-09-30 17:20:02,174,23
2020-09-17,2020-09-30 17:20:02,88,NA
2020-06-22,2020-09-30 17:20:02,100,8
2020-09-21,2020-09-30 17:20:02,66,NA
2020-09-26,2020-09-30 17:20:02,88,NA
2020-04-04,2020-09-30 17:20:02,438,117
2020-09-29,2020-09-30 17:20:02,76,NA
