zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-08-17 17:20:01,433,149
19132,2020-08-17 17:20:01,570,231
19146,2020-08-17 17:20:01,574,126
19137,2020-08-17 17:20:01,88,10
19114,2020-08-17 17:20:01,504,88
19153,2020-08-17 17:20:01,216,51
19115,2020-08-17 17:20:01,797,131
19104,2020-08-17 17:20:01,555,220
19138,2020-08-17 17:20:01,588,136
19122,2020-08-17 17:20:01,303,93
19149,2020-08-17 17:20:01,945,160
19123,2020-08-17 17:20:01,320,85
19101,2020-08-17 17:20:01,23,10
19130,2020-08-17 17:20:01,309,89
19143,2020-08-17 17:20:01,1135,315
19125,2020-08-17 17:20:01,253,77
19154,2020-08-17 17:20:01,592,57
19151,2020-08-17 17:20:01,635,146
19106,2020-08-17 17:20:01,99,13
19111,2020-08-17 17:20:01,1163,244
19147,2020-08-17 17:20:01,400,70
19144,2020-08-17 17:20:01,736,257
19126,2020-08-17 17:20:01,445,156
19121,2020-08-17 17:20:01,470,163
19118,2020-08-17 17:20:01,139,48
19133,2020-08-17 17:20:01,428,209
19128,2020-08-17 17:20:01,397,47
19103,2020-08-17 17:20:01,214,58
19127,2020-08-17 17:20:01,47,NA
19145,2020-08-17 17:20:01,744,150
19142,2020-08-17 17:20:01,606,175
19124,2020-08-17 17:20:01,1213,242
19105,2020-08-17 17:20:01,5,NA
19135,2020-08-17 17:20:01,539,78
19116,2020-08-17 17:20:01,651,120
19139,2020-08-17 17:20:01,801,284
19131,2020-08-17 17:20:01,854,287
19136,2020-08-17 17:20:01,994,144
19120,2020-08-17 17:20:01,1340,279
19141,2020-08-17 17:20:01,521,186
19107,2020-08-17 17:20:01,218,60
19140,2020-08-17 17:20:01,947,380
19152,2020-08-17 17:20:01,665,163
19134,2020-08-17 17:20:01,829,230
19150,2020-08-17 17:20:01,458,91
19148,2020-08-17 17:20:01,852,196
19102,2020-08-17 17:20:01,64,5
19129,2020-08-17 17:20:01,122,25
