zip_code,etl_timestamp,Yes,NO_UNKNOWN
19124,2020-09-14 17:20:02,250,1357
19105,2020-09-14 17:20:02,NA,5
19135,2020-09-14 17:20:02,82,610
19116,2020-09-14 17:20:02,121,738
19111,2020-09-14 17:20:02,247,1316
19139,2020-09-14 17:20:02,288,835
19131,2020-09-14 17:20:02,293,926
19136,2020-09-14 17:20:02,151,1062
19120,2020-09-14 17:20:02,297,1452
19125,2020-09-14 17:20:02,77,296
19121,2020-09-14 17:20:02,168,677
19141,2020-09-14 17:20:02,190,566
19107,2020-09-14 17:20:02,62,233
19138,2020-09-14 17:20:02,147,633
19154,2020-09-14 17:20:02,66,643
19145,2020-09-14 17:20:02,158,819
19140,2020-09-14 17:20:02,400,1083
19152,2020-09-14 17:20:02,180,752
19149,2020-09-14 17:20:02,166,1059
19134,2020-09-14 17:20:02,249,930
19147,2020-09-14 17:20:02,71,428
19150,2020-09-14 17:20:02,94,484
19148,2020-09-14 17:20:02,201,910
19123,2020-09-14 17:20:02,88,332
19126,2020-09-14 17:20:02,157,465
19102,2020-09-14 17:20:02,5,69
19129,2020-09-14 17:20:02,25,135
19115,2020-09-14 17:20:02,135,870
19118,2020-09-14 17:20:02,50,153
19133,2020-09-14 17:20:02,215,508
19106,2020-09-14 17:20:02,13,110
19128,2020-09-14 17:20:02,48,460
19103,2020-09-14 17:20:02,60,230
19130,2020-09-14 17:20:02,89,403
19151,2020-09-14 17:20:02,149,684
19142,2020-09-14 17:20:02,178,653
19104,2020-09-14 17:20:02,226,589
19144,2020-09-14 17:20:02,262,776
19119,2020-09-14 17:20:02,153,459
19132,2020-09-14 17:20:02,232,602
19153,2020-09-14 17:20:02,53,224
19101,2020-09-14 17:20:02,10,28
19146,2020-09-14 17:20:02,128,606
19137,2020-09-14 17:20:02,11,101
19114,2020-09-14 17:20:02,96,543
19122,2020-09-14 17:20:02,95,416
19143,2020-09-14 17:20:02,327,1197
19127,2020-09-14 17:20:02,NA,57
